date,PM2.5
2014/01/01,29
2014/01/02,54
2014/01/03,34
2014/01/04,77
2014/01/05,49
2014/01/06,29
2014/01/07,43
2014/01/08,48
2014/01/09,22
2014/01/10,14
2014/01/11,20
2014/01/12,20
2014/01/13,31
2014/01/14,13
2014/01/15,15
2014/01/16,13
2014/01/17,14
2014/01/18,82
2014/01/19,21
2014/01/20,45
2014/01/21,55
2014/01/22,18
2014/01/23,12
2014/01/24,35
2014/01/25,14
2014/01/26,67
2014/01/27,17
2014/01/28,17
2014/01/29,14
2014/01/30,78
2014/01/31,31
2014/02/01,38
2014/02/02,19
2014/02/03,22
2014/02/04,26
2014/02/05,5
2014/02/06,37
2014/02/07,19
2014/02/08,9
2014/02/09,4
2014/02/10,6
2014/02/11,31
2014/02/12,16
2014/02/13,11
2014/02/14,12
2014/02/15,21
2014/02/16,22
2014/02/17,22
2014/02/18,33
2014/02/19,7
2014/02/20,20
2014/02/21,11
2014/02/22,19
2014/02/23,7
2014/02/24,28
2014/02/25,48
2014/02/26,48
2014/02/27,22
2014/02/28,22
2014/03/01,49
2014/03/02,7
2014/03/03,22
2014/03/04,40
2014/03/05,15
2014/03/06,18
2014/03/07,8
2014/03/08,4
2014/03/09,11
2014/03/10,36
2014/03/11,15
2014/03/12,50
2014/03/13,18
2014/03/14,55
2014/03/15,29
2014/03/16,83
2014/03/17,38
2014/03/18,34
2014/03/19,48
2014/03/20,24
2014/03/21,18
2014/03/22,16
2014/03/23,9
2014/03/24,36
2014/03/25,45
2014/03/26,36
2014/03/27,31
2014/03/28,26
2014/03/29,26
2014/03/30,58
2014/03/31,29
2014/04/01,13
2014/04/02,22
2014/04/03,33
2014/04/04,35
2014/04/05,38
2014/04/06,31
2014/04/07,31
2014/04/08,19
2014/04/09,31
2014/04/10,17
2014/04/11,42
2014/04/12,25
2014/04/13,27
2014/04/14,14
2014/04/15,29
2014/04/16,44
2014/04/17,26
2014/04/18,27
2014/04/19,37
2014/04/20,18
2014/04/21,22
2014/04/22,12
2014/04/23,32
2014/04/24,21
2014/04/25,25
2014/04/26,21
2014/04/27,25
2014/04/28,27
2014/04/29,34
2014/04/30,39
2014/05/01,36
2014/05/02,31
2014/05/03,7
2014/05/04,35
2014/05/05,2
2014/05/06,16
2014/05/07,29
2014/05/08,16
2014/05/09,30
2014/05/10,28
2014/05/11,23
2014/05/12,18
2014/05/13,17
2014/05/14,10
2014/05/15,7
2014/05/16,58
2014/05/17,33
2014/05/18,11
2014/05/19,13
2014/05/20,7
2014/05/21,26
2014/05/22,25
2014/05/23,11
2014/05/24,19
2014/05/25,19
2014/05/26,13
2014/05/27,22
2014/05/28,42
2014/05/29,12
2014/05/30,26
2014/05/31,30
2014/06/01,23
2014/06/02,13
2014/06/03,16
