AERONET Version 3; 
Cuiaba
Version 3: AOD Level 2.0
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Contact: PI=Brent_Holben; PI Email=Brent.N.Holben@nasa.gov
"Daily Averages,UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html"
"AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)"
"NCU_Taiwan,17:04:1998,12:00:00,107,-999.,0.486052,0.509148,-999.,-999.,0.570915,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.695870,-999.,-999.,-999.,-999.,1.616417,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.455955,-999.,0.467889,-999.,-999.,0.467889,0,18,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,18,0,18,0,0,18,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
"NCU_Taiwan,18:04:1998,12:00:00,108,-999.,0.481058,0.523573,-999.,-999.,0.614255,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.808089,-999.,-999.,-999.,-999.,1.909949,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.628541,-999.,0.642406,-999.,-999.,0.642406,0,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,15,0,15,0,0,15,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
"NCU_Taiwan,23:04:1998,12:00:00,113,-999.,0.117543,0.142877,-999.,-999.,0.210037,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.380325,-999.,-999.,-999.,-999.,4.189574,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.418546,-999.,1.396593,-999.,-999.,1.396593,0,12,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,12,0,12,0,0,12,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
"NCU_Taiwan,24:04:1998,12:00:00,114,-999.,0.133303,0.159298,-999.,-999.,0.244003,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.450441,-999.,-999.,-999.,-999.,4.025705,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.501619,-999.,1.443432,-999.,-999.,1.443432,0,22,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,22,0,22,0,0,22,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
"NCU_Taiwan,02:05:1998,12:00:00,122,-999.,0.148507,0.184203,-999.,-999.,0.270311,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.489792,-999.,-999.,-999.,-999.,4.595515,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.437965,-999.,1.411834,-999.,-999.,1.411834,0,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7,0,0,7,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
"NCU_Taiwan,08:05:1998,12:00:00,128,-999.,0.140745,0.154987,-999.,-999.,0.211960,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.342562,-999.,-999.,-999.,-999.,4.550437,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.176539,-999.,1.144993,-999.,-999.,1.144993,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6,0,6,0,0,6,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
"NCU_Taiwan,10:05:1998,12:00:00,130,-999.,0.149627,0.174909,-999.,-999.,0.260797,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.419298,-999.,-999.,-999.,-999.,4.727540,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.270699,-999.,1.130991,-999.,-999.,1.130991,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
"NCU_Taiwan,11:05:1998,12:00:00,131,-999.,0.300658,0.375555,-999.,-999.,0.557759,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.927858,-999.,-999.,-999.,-999.,4.793566,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.330729,-999.,1.231154,-999.,-999.,1.231154,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,0,5,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
"NCU_Taiwan,12:05:1998,12:00:00,132,-999.,0.176805,0.204732,-999.,-999.,0.314770,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.567125,-999.,-999.,-999.,-999.,5.019436,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.466841,-999.,1.382504,-999.,-999.,1.382504,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
"NCU_Taiwan,13:05:1998,12:00:00,133,-999.,0.511992,-999.,-999.,-999.,0.892565,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.387358,-999.,-999.,-999.,-999.,5.317212,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.040369,-999.,1.040369,-999.,-999.,1.040369,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,lev20,105,NCU_Taiwan,24.967662,121.187508,171.000000"
