日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012/01/01,板橋,AMB_TEMP,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15
2012/01/01,板橋,CH4,1.9,1.9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2012/01/01,板橋,CO,0.49,0.59,0.49,0.51,0.46,0.46,0.48,0.63,0.68,0.66,0.78,0.68,0.68,0.64,0.66,0.7,0.78,0.84,0.86,0.81,0.74,0.66,0.65,0.58
2012/01/01,板橋,NMHC,0.23,0.24,0.21,0.22,0.23,0.23,0.22,0.27,0.3,0.31,0.37,0.29,0.27,0.23,0.24,0.25,0.29,0.3,0.3,0.28,0.24,0.2,0.17,0.15
2012/01/01,板橋,NO,1.4,2,1.6,2.2,1.6,1.6,1.8,4.7,6.4,5.5,8.2,6.3,6.6,4.2,3.1,3.7,4.5,4.1,4.2,4.3,2.6,2.2,1.6,1.5
2012/01/01,板橋,NO2,19,22,21,21,18,18,19,26,28,26,33,29,27,26,26,32,37,38,37,34,29,22,21,17
2012/01/01,板橋,NOx,21,24,22,24,20,19,20,30,35,32,41,36,34,30,29,36,42,42,42,39,31,24,22,19
2012/01/01,板橋,O3,24,21,22,19,20,19,18,14,13,15,11,15,18,23,29,26,21,21,21,24,29,34,31,32
2012/01/01,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2012/01/01,板橋,PM10,43,48,35,34,33,35,35,34,38,44,48,54,62,65,65,75,81,79,81,79,88,95,94,92
2012/01/01,板橋,PM2.5,33,37,24,21,24,23,22,24,29,30,32,38,39,44,47,49,54,58,60,60,61,68,73,70
2012/01/01,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2012/01/01,板橋,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
