日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2013/01/01,板橋,AMB_TEMP,14,14,14,14,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15
2013/01/01,板橋,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,1.9,1.9,1.9,1.9,2,1.9,1.9,1.9,1.9,2,2,2,2
2013/01/01,板橋,CO,0.46,0.55,0.47,0.43,0.46,0.42,0.39,0.45,0.54,0.62,0.63,0.61,0.64,0.67,0.7,0.64,0.62,0.66,0.67,0.64,0.67,0.68,0.72,0.67
2013/01/01,板橋,NMHC,0.14,0.16,0.12,0.11,0.13,0.12,0.1,0.11,0.15,0.21,0.24,0.24,0.24,0.24,0.26,0.25,0.24,0.24,0.24,0.22,0.24,0.22,0.25,0.22
2013/01/01,板橋,NO,1.5,1.6,1.3,1.5,1.6,1.3,2.2,2.6,4.5,7.4,8.3,12,17,18,21,15,17,13,13,13,13,15,13,9.6
2013/01/01,板橋,NO2,15,18,15,16,16,15,16,17,23,26,27,29,30,32,34,34,35,33,35,33,34,33,33,29
2013/01/01,板橋,NOx,16,20,17,17,17,16,18,20,27,33,35,41,47,50,55,49,51,46,48,47,47,47,46,39
2013/01/01,板橋,O3,22,19,22,29,21,21,21,20,15,10,10,8.6,5.6,5.2,4,5.5,4.3,6,6.4,7.3,4.8,5,4.3,6.5
2013/01/01,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,4,4.2,4.3,4.3,4.4,4.4,NR,4.1,4.1,NR,4.2,4.3,4.4
2013/01/01,板橋,PM10,54,55,48,46,45,43,40,35,39,42,37,34,33,31,31,29,26,22,23,27,22,18,18,18
2013/01/01,板橋,PM2.5,34,33,29,24,22,25,28,26,26,29,30,27,27,32,30,26,25,22,19,19,17,20,20,14
2013/01/01,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,80,37,28,31,28,26,NR,44,51,NR,43,34,26
2013/01/01,板橋,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.4,NR,2,1.4,0.6,0.8,2,1,0.4,0.8,0.8,NR,0.6,0.8,0.8
2013/01/01,板橋,RH,65,67,66,65,65,65,67,70,73,79,83,84,86,86,87,87,87,87,87,87,87,87,87,88
2013/01/01,板橋,SO2,2.9,2.7,2.6,2.4,2.6,2.5,2.3,2.4,2.8,2.9,3.1,3.3,3.2,3.1,3.4,3.4,3.5,3.7,4.1,3.5,3.2,3.3,3.3,3
2013/01/01,板橋,THC,2,2,2,2,2.1,2,2,2,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.2,2.2,2.2,2.2
2013/01/01,板橋,UVB,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.3,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0,0
2013/01/01,板橋,WD_HR,76,72,62,79,79,89,79,81,70,56,52,74,75,84,65,52,75,76,68,81,65,84,88,62
2013/01/01,板橋,WIND_DIREC,88,59,67,70,82,95,85,53,69,58,55,83,65,93,52,53,83,76,89,48,90,85,35,51
2013/01/01,板橋,WIND_SPEED,1.9,1.8,1.9,0.9,1.3,1.3,2.1,0.8,1,1.4,2.3,2,1,1,1.5,1.5,1.5,1.6,2.1,1.8,1.7,1.3,1.2,1.7
2013/01/01,板橋,WS_HR,1.4,1.2,1.4,0.8,0.6,0.6,1.3,1.4,1.3,1.4,1.6,1.7,1,1.2,0.9,1.1,1.4,1.4,1.6,1.7,1.4,1.2,0.8,1.1
2013/01/02,板橋,AMB_TEMP,15,15,15,15,16,15,15,15,16,17,18,20,20,20,20,20,20,19,19,19,19,18,17,17
2013/01/02,板橋,CH4,2,2,2.3,2.4,2.4,2.5,2.4,2.1,2.1,2.2,2.1,2,2,1.9,2,1.9,1.9,1.9,2,2,2,2.2,2,1.9
2013/01/02,板橋,CO,0.56,0.44,0.46,0.47,0.49,0.91,1.1,1.23,1.97,1.56,1.48,1.16,1.05,0.74,0.87,0.59,0.56,0.84,1.49,1.15,1.53,1.76,0.8,0.47
2013/01/02,板橋,NMHC,0.19,0.14,0.28,0.34,0.32,0.53,0.58,0.48,0.77,0.65,0.71,0.7,0.69,0.45,0.62,0.3,0.31,0.47,0.69,0.53,0.71,0.87,0.43,0.28
2013/01/02,板橋,NO,3.7,2.1,1.6,2.1,2.9,11,34,45,66,50,41,28,36,19,21,5.6,4.3,6.7,13,6.4,23,39,6.5,2.4
2013/01/02,板橋,NO2,26,19,17,19,17,24,23,22,28,35,48,53,44,34,45,25,22,32,41,35,41,41,29,20
2013/01/02,板橋,NOx,29,21,19,21,20,36,58,67,94,85,89,81,80,53,66,31,26,38,54,42,64,80,35,22
2013/01/02,板橋,O3,11,16,12,11,14,2.2,1.6,1.8,2.8,4.2,9.9,13,4,12,13,23,23,15,4.6,8.9,3.2,1.4,14,23
2013/01/02,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,5.2,4.7
2013/01/02,板橋,PM10,13,10,10,13,13,15,21,24,28,33,44,62,70,55,55,51,42,51,60,57,49,44,33,22
2013/01/02,板橋,PM2.5,13,14,10,13,13,11,15,17,21,26,32,40,42,36,39,33,20,26,31,28,27,28,22,14
2013/01/02,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,102,52
2013/01/02,板橋,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,0.6,1,1
2013/01/02,板橋,RH,88,87,87,88,87,87,87,87,86,83,78,72,70,71,69,69,77,79,81,81,84,87,87,88
2013/01/02,板橋,SO2,2.6,1.1,1.5,2.3,1.9,3.2,6.3,8.2,11,11,14,19,17,11,16,4.8,3.4,3.8,4.6,4.3,5,6.4,4.1,2.4
2013/01/02,板橋,THC,2.2,2.1,2.6,2.8,2.8,3,2.9,2.5,2.9,2.8,2.8,2.7,2.7,2.4,2.6,2.2,2.2,2.4,2.7,2.5,2.7,3,2.4,2.2
2013/01/02,板橋,UVB,0,0,0,0,0,0,0,0.1,0.9,1.6,3.4,2.5,0.9,1.9,1.6,0.5,0.2,0,0,0,0,0,0,0
2013/01/02,板橋,WD_HR,76,76,260,323,29,229,217,186,265,302,236,236,238,265,315,315,302,305,345,10,96,255,318,307
2013/01/02,板橋,WIND_DIREC,81,228,243,17,183,221,212,173,307,303,256,221,303,224,325,305,300,315,5.9,48,167,95,303,339
2013/01/02,板橋,WIND_SPEED,1.2,0.5,0.5,1.1,0.7,0.7,1.5,0.8,0.6,0.5,1.3,0.9,0.6,1,2,2.3,1.3,1.3,1.6,0.7,0.5,0.8,0.6,0.7
2013/01/02,板橋,WS_HR,1.1,0.6,0.4,0.3,0.5,0.4,0.7,0.4,0.3,0.8,0.6,0.9,0.4,0.7,0.7,1.3,1.8,1.2,0.6,0.7,0.2,0.3,0.5,0.6
2013/01/03,板橋,AMB_TEMP,17,16,16,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14
2013/01/03,板橋,CH4,1.9,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9#,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8
2013/01/03,板橋,CO,0.4,0.33,0.32,0.31,0.3,0.31,0.37,0.56,0.64,0.6,0.49,0.48,0.5,.48#,0.5,0.52,0.5,0.61,0.7,0.58,0.5,0.49,0.42,0.33
2013/01/03,板橋,NMHC,0.21,0.23,0.15,0.08,0.08,0.06,0.08,0.15,0.19,0.21,0.2,0.21,.17#,0.13,0.19,0.21,0.21,0.21,0.23,0.18,0.15,0.15,0.12,0.09
2013/01/03,板橋,NO,2.4,2.6,2.2,1.5,1.5,1.2,2.6,5,5.7,9.4,7.9,6.6,6.5,5.5#,5.2,6,5.7,6.7,7.5,4.9,4,4,2.4,1.5
2013/01/03,板橋,NO2,16,13,11,6.4,6.3,7.5,17,22,25,28,23,21,21,19#,23,27,26,27,29,25,25,24,19,15
2013/01/03,板橋,NOx,19,15,13,7.9,7.7,8.7,19,27,31,37,30,28,27,24#,28,33,31,34,37,30,29,28,22,16
2013/01/03,板橋,O3,25,28,32,42,40,37,27,22,18,15,21,21,21#,20,19,15,16,13,13,16,18,19,24,27
2013/01/03,板橋,PH_RAIN,4.6,4.6,4.8,5,5,4.8,4.8,NR,4.9,4.8,NR,NR,5.1x,NR,7.7x,NR,6.9x,6.6,NR,6.6x,NR,NR,6.5x,5.8
2013/01/03,板橋,PM10,13,11,12,12,10,12,10,13,18,18,18,21,,18,22,23,22,17,16,21,21,24,26,21
2013/01/03,板橋,PM2.5,11,9,8,7,6,8,13,14,12,14,14,13,,12,12,12,13,11,10,11,14,17,18,14
