date,data
2000/03/30,"[0.0933523922764228, 0.41765, 0.474397, 0, 0, 0.620497, 0, 0, 0, 0, 0, 0, 0, 0, 0.48459976230809976, 0, 0, 0.977996, 0, 0, 0.6333750661686236, 0.6794867085620182, 1.99276, 0, 0, 0, 0, 0, 0, 0, 1.057749, 1.1362007126925127, 1.05692, 1.3675164480932207, 1.026563747863247, 1.05692, 0.0, 4.0]"
2000/04/09,"[0.0933523922764228, 0.493568, 0.635441, 0, 0, 0.936972, 0, 0, 0, 0, 0, 0, 0, 0, 0.48459976230809976, 0, 0, 1.559884, 0, 0, 0.6333750661686236, 0.6794867085620182, 4.546974, 0, 0, 0, 0, 0, 0, 0, 1.301062, 1.1362007126925127, 1.188436, 1.3675164480932207, 1.026563747863247, 1.188436, 0.0, 3.0]"
2002/03/20,"[0.0933523922764228, 0.661219, 0.851389, 0, 0, 1.23859, 0, 0, 0, 0, 0, 0, 0, 0, 1.883786, 0, 0, 2.163722, 0, 0, 2.447894, 2.628759, 3.258225, 0, 0, 0, 0, 0, 0, 0, 1.38102, 0.943299, 1.207985, 1.413654, 0.75715, 1.122678, 0.0, 3.0]"
2002/03/21,"[0.0933523922764228, 0.444916, 0.573311, 0, 0, 0.844399, 0, 0, 0, 0, 0, 0, 0, 0, 1.247146, 0, 0, 1.420438, 0, 0, 1.606725, 1.7291, 3.214727, 0, 0, 0, 0, 0, 0, 0, 1.344981, 0.92169, 1.240484, 1.413183, 0.77343, 1.122678, 0.0, 13.0]"
2002/03/22,"[0.0933523922764228, 0.57076, 0.743492, 0, 0, 1.087817, 0, 0, 0, 0, 0, 0, 0, 0, 1.594255, 0, 0, 1.795364, 0, 0, 1.997564, 2.153485, 2.792234, 0, 0, 0, 0, 0, 0, 0, 1.322234, 0.75746, 1.14803, 1.386666, 0.638439, 1.122678, 0.0, 22.0]"
2002/03/26,"[0.0933523922764228, 0.218774, 0.289309, 0, 0, 0.441171, 0, 0, 0, 0, 0, 0, 0, 0, 0.682103, 0, 0, 0.79541, 0, 0, 0.921114, 1.015167, 3.022924, 0, 0, 0, 0, 0, 0, 0, 1.48974, 1.074356, 1.391396, 1.553287, 0.931301, 1.122678, 0.0, 7.0]"
2002/03/27,"[0.0933523922764228, 0.451317, 0.598094, 0, 0, 0.879066, 0, 0, 0, 0, 0, 0, 0, 0, 1.272476, 0, 0, 1.429908, 0, 0, 1.592787, 1.679079, 3.777311, 0, 0, 0, 0, 0, 0, 0, 1.295694, 0.819436, 1.166525, 1.375472, 0.63616, 1.122678, 0.0, 3.0]"
2002/03/28,"[0.0933523922764228, 0.439853, 0.562282, 0, 0, 0.789459, 0, 0, 0, 0, 0, 0, 0, 0, 1.095016, 0, 0, 1.221966, 0, 0, 1.356753, 1.449658, 3.800662, 0, 0, 0, 0, 0, 0, 0, 1.149571, 0.775445, 1.041462, 1.213439, 0.66549, 1.122678, 0.0, 4.0]"
2002/04/02,"[0.0933523922764228, 0.378157, 0.492632, 0, 0, 0.718285, 0, 0, 0, 0, 0, 0, 0, 0, 1.036242, 0, 0, 1.167911, 0, 0, 1.354178, 1.494827, 3.66485, 0, 0, 0, 0, 0, 0, 0, 1.321081, 0.85704, 1.198089, 1.397719, 0.667055, 1.122678, 0.0, 28.0]"
2002/04/03,"[0.0933523922764228, 0.398667, 0.520467, 0, 0, 0.771236, 0, 0, 0, 0, 0, 0, 0, 0, 1.144024, 0, 0, 1.310433, 0, 0, 1.488266, 1.595369, 3.482804, 0, 0, 0, 0, 0, 0, 0, 1.382023, 0.945001, 1.272973, 1.447984, 0.745974, 1.122678, 0.0, 28.0]"
2002/04/05,"[0.0933523922764228, 0.369155, 0.485106, 0, 0, 0.726949, 0, 0, 0, 0, 0, 0, 0, 0, 1.046439, 0, 0, 1.181279, 0, 0, 1.323459, 1.3988, 3.755967, 0, 0, 0, 0, 0, 0, 0, 1.415986, 0.923513, 1.280379, 1.485703, 0.772328, 1.122678, 0.0, 30.0]"
2002/04/06,"[0.0933523922764228, 0.174696, 0.226335, 0, 0, 0.355657, 0, 0, 0, 0, 0, 0, 0, 0, 0.569702, 0, 0, 0.663461, 0, 0, 0.77823, 0.869779, 2.847966, 0, 0, 0, 0, 0, 0, 0, 1.594064, 1.124686, 1.482261, 1.676122, 1.04845, 1.122678, 0.0, 2.0]"
2002/04/07,"[0.0933523922764228, 0.488374, 0.613245, 0, 0, 0.870551, 0, 0, 0, 0, 0, 0, 0, 0, 1.219574, 0, 0, 0.554318369612069, 0, 0, 0.6333750661686236, 0.6794867085620182, 3.073352, 0, 0, 0, 0, 0, 0, 0, 1.246709, 1.1362007126925127, 1.135465, 1.246709, 1.026563747863247, 1.122678, 0.0, 1.0]"
2002/04/29,"[0.0933523922764228, 0.219053, 0.280725, 0, 0, 0.406386, 0, 0, 0, 0, 0, 0, 0, 0, 0.591372, 0, 0, 0.672942, 0, 0, 0.751422, 0.799539, 3.559568, 0, 0, 0, 0, 0, 0, 0, 1.402488, 0.998762, 1.319862, 1.461403, 0.877679, 1.122678, 0.0, 20.0]"
2002/04/30,"[0.0933523922764228, 0.258449, 0.335089, 0, 0, 0.499153, 0, 0, 0, 0, 0, 0, 0, 0, 0.754506, 0, 0, 0.872697, 0, 0, 1.008932, 1.145077, 3.480537, 0, 0, 0, 0, 0, 0, 0, 1.414718, 1.026046, 1.325951, 1.474077, 0.9067, 1.122678, 0.0, 35.0]"
2002/05/01,"[0.0933523922764228, 0.600203, 0.767575, 0, 0, 1.107596, 0, 0, 0, 0, 0, 0, 0, 0, 1.584275, 0, 0, 1.790287, 0, 0, 2.011458, 2.168918, 3.719206, 0, 0, 0, 0, 0, 0, 0, 1.261834, 0.872345, 1.153595, 1.32626, 0.75346, 1.122678, 0.0, 16.0]"
2002/05/02,"[0.0933523922764228, 0.234005, 0.305386, 0, 0, 0.45781, 0, 0, 0, 0, 0, 0, 0, 0, 0.686092, 0, 0, 0.784373, 0, 0, 0.884815, 0.948854, 3.632265, 0, 0, 0, 0, 0, 0, 0, 1.436906, 0.956674, 1.324626, 1.511114, 0.782444, 1.122678, 0.0, 32.0]"
2002/05/03,"[0.0933523922764228, 0.395404, 0.505832, 0, 0, 0.73218, 0, 0, 0, 0, 0, 0, 0, 0, 1.04612, 0, 0, 1.175858, 0, 0, 1.303307, 1.392207, 3.86686, 0, 0, 0, 0, 0, 0, 0, 1.240845, 0.77895, 1.118778, 1.314197, 0.632016, 1.122678, 0.0, 12.0]"
2002/05/04,"[0.0933523922764228, 0.048686, 0.052509, 0, 0, 0.068404, 0, 0, 0, 0, 0, 0, 0, 0, 0.109334, 0, 0, 0.129185, 0, 0, 0.157837, 0.188953, 3.424336, 0, 0, 0, 0, 0, 0, 0, 1.358482, 1.32568, 1.506865, 1.341669, 1.45318, 1.122678, 0.0, 29.0]"
