date,PM2.5
2015/01/08,41
2015/01/09,20
2015/01/10,15
2015/01/11,27
2015/01/12,24
2015/01/13,10
2015/01/14,6
2015/01/15,20
2015/01/16,18
2015/01/17,54
2015/01/18,15
2015/01/19,35
2015/01/20,31
2015/01/21,26
2015/01/22,50
2015/01/23,37
2015/01/24,23
2015/01/25,45
2015/01/26,32
2015/01/27,35
2015/01/28,16
2015/01/29,10
2015/01/30,11
2015/01/31,25
2015/02/01,7
2015/02/02,5
2015/02/03,10
2015/02/04,13
2015/02/05,84
2015/02/06,13
2015/02/07,18
2015/02/08,51
2015/02/09,17
2015/02/10,5
2015/02/11,31
2015/02/12,38
2015/02/13,25
2015/02/14,26
2015/02/15,34
2015/02/16,22
2015/02/17,51
2015/02/18,40
2015/02/19,25
2015/02/20,13
2015/02/21,22
2015/02/22,20
2015/02/23,38
2015/02/24,31
2015/02/25,34
2015/02/26,35
2015/02/27,15
2015/02/28,21
2015/03/01,11
2015/03/02,27
2015/03/03,43
2015/03/04,14
2015/03/05,7
2015/03/06,10
2015/03/07,13
2015/03/08,15
2015/03/09,13
2015/03/10,33
2015/03/11,12
2015/03/12,6
2015/03/14,46
2015/03/15,36
2015/03/16,45
2015/03/17,60
2015/03/18,32
2015/03/19,31
2015/03/20,28
2015/03/21,11
2015/03/22,43
2015/03/23,15
2015/03/24,14
2015/03/25,14
2015/03/26,15
2015/03/27,11
2015/03/28,20
2015/03/29,15
2015/03/30,36
2015/03/31,33
2015/04/01,46
2015/04/02,35
2015/04/03,23
2015/04/04,38
2015/04/05,36
2015/04/06,22
2015/04/07,9
2015/04/08,8
2015/04/09,18
2015/04/10,8
2015/04/11,19
2015/04/12,9
2015/04/13,28
2015/04/14,21
2015/04/15,30
2015/04/16,35
2015/04/17,35
2015/04/18,39
2015/04/19,20
2015/04/20,20
2015/04/21,27
2015/04/22,15
2015/04/23,10
2015/04/24,17
2015/04/25,16
2015/04/26,16
2015/04/27,31
2015/04/28,29
2015/04/29,24
2015/04/30,47
2015/05/01,62
2015/05/02,33
2015/05/03,20
2015/05/04,17
2015/05/05,20
2015/05/06,36
2015/05/07,32
2015/05/08,38
2015/05/09,24
2015/05/10,10
2015/05/11,29
2015/05/12,27
2015/05/13,25
2015/05/14,30
2015/05/15,22
2015/05/16,12
2015/05/17,21
2015/05/18,21
2015/05/19,15
2015/05/20,13
2015/05/21,22
2015/05/22,11
2015/05/23,12
2015/05/24,0
2015/05/25,10
2015/05/26,25
2015/05/27,21
2015/05/28,15
2015/05/29,14
2015/05/30,15
2015/05/31,19
2015/06/01,10
2015/06/02,20
2015/06/03,14
2015/06/04,21
2015/06/05,14
2015/06/06,28
2015/06/07,24
2015/06/08,18
2015/06/09,16
2015/06/10,18
2015/06/11,12
2015/06/12,19
2015/06/13,20
2015/06/14,21
2015/06/15,17
2015/06/16,17
2015/06/17,13
2015/06/18,15
2015/06/19,10
2015/06/20,19
2015/06/21,25
2015/06/22,15
2015/06/23,20
2015/06/24,15
2015/06/25,16
2015/06/26,21
2015/06/27,16
2015/06/28,15
2015/06/29,13
2015/06/30,18
2015/07/01,17
2015/07/02,12
2015/07/03,15
2015/07/04,15
2015/07/05,1
2015/07/06,3
2015/07/08,4
2015/07/09,9
2015/07/10,3
2015/07/11,14
2015/07/12,15
2015/07/13,13
2015/07/14,28
2015/07/15,24
2015/07/16,46
2015/07/17,48
2015/07/18,36
2015/07/19,21
2015/07/20,8
2015/07/21,15
2015/07/22,32
2015/07/23,21
2015/07/24,23
2015/07/25,16
2015/07/26,12
2015/07/28,11
2015/07/29,11
2015/07/30,22
2015/07/31,25
2015/08/01,20
