AERONET Version 3; 
Taipei_CWB
Version 3: AOD Level 2.0
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Contact: PI=Brent_Holben; PI Email=Brent.N.Holben@nasa.gov
"Daily Averages,UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html"
"Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)"
"30:03:2000,12:00:00,90,-999.,0.417650,0.474397,-999.,-999.,0.620497,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.977996,-999.,-999.,-999.,-999.,1.992760,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.057749,-999.,1.056920,-999.,-999.,1.056920,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,lev20,105,Taipei_CWB,25.014683,121.538370,26.000000"
"09:04:2000,12:00:00,100,-999.,0.493568,0.635441,-999.,-999.,0.936972,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.559884,-999.,-999.,-999.,-999.,4.546974,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.301062,-999.,1.188436,-999.,-999.,1.188436,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,lev20,105,Taipei_CWB,25.014683,121.538370,26.000000"
"20:03:2002,12:00:00,79,-999.,0.661219,0.851389,-999.,-999.,1.238590,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.883786,-999.,-999.,2.163722,-999.,-999.,2.447894,2.628759,3.258225,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.381020,0.943299,1.207985,1.413654,0.757150,-999.,0,3,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,3,0,0,0,0,0,0,0,3,2,2,3,2,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"21:03:2002,12:00:00,80,-999.,0.444916,0.573311,-999.,-999.,0.844399,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.247146,-999.,-999.,1.420438,-999.,-999.,1.606725,1.729100,3.214727,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.344981,0.921690,1.240484,1.413183,0.773430,-999.,0,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,13,13,13,13,13,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"22:03:2002,12:00:00,81,-999.,0.570760,0.743492,-999.,-999.,1.087817,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.594255,-999.,-999.,1.795364,-999.,-999.,1.997564,2.153485,2.792234,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.322234,0.757460,1.148030,1.386666,0.638439,-999.,0,22,22,0,0,22,0,0,0,0,0,0,0,0,17,0,0,16,0,0,13,8,19,0,0,0,0,0,0,0,22,16,17,22,13,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"26:03:2002,12:00:00,85,-999.,0.218774,0.289309,-999.,-999.,0.441171,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.682103,-999.,-999.,0.795410,-999.,-999.,0.921114,1.015167,3.022924,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.489740,1.074356,1.391396,1.553287,0.931301,-999.,0,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"27:03:2002,12:00:00,86,-999.,0.451317,0.598094,-999.,-999.,0.879066,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.272476,-999.,-999.,1.429908,-999.,-999.,1.592787,1.679079,3.777311,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.295694,0.819436,1.166525,1.375472,0.636160,-999.,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"28:03:2002,12:00:00,87,-999.,0.439853,0.562282,-999.,-999.,0.789459,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.095016,-999.,-999.,1.221966,-999.,-999.,1.356753,1.449658,3.800662,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.149571,0.775445,1.041462,1.213439,0.665490,-999.,0,4,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,4,4,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"02:04:2002,12:00:00,92,-999.,0.378157,0.492632,-999.,-999.,0.718285,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.036242,-999.,-999.,1.167911,-999.,-999.,1.354178,1.494827,3.664850,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.321081,0.857040,1.198089,1.397719,0.667055,-999.,0,28,28,0,0,28,0,0,0,0,0,0,0,0,28,0,0,28,0,0,25,22,28,0,0,0,0,0,0,0,28,28,28,28,25,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
"03:04:2002,12:00:00,93,-999.,0.398667,0.520467,-999.,-999.,0.771236,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.144024,-999.,-999.,1.310433,-999.,-999.,1.488266,1.595369,3.482804,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.382023,0.945001,1.272973,1.447984,0.745974,-999.,0,28,28,0,0,28,0,0,0,0,0,0,0,0,28,0,0,27,0,0,26,25,28,0,0,0,0,0,0,0,28,27,28,28,26,0,lev20,235,Taipei_CWB,25.014683,121.538370,26.000000"
